Common code,Original name,English suggestion,Engl. abbr.,Engl. Aliases,German suggestion,German abbr.,German aliases,Dutch name,Dutch abbr.,Dutch aliases,Description
XO7,Wooden pallet  40 cm x 80 cm,Wooden pallet  40 cm x 80 cm,,,Holzpalette 40 cm x 80 cm,,,houten pallet 40 cm x 80 cm,,,Wooden pallet with dimensions 40 cm x 80 cm.
XDT,"Tray, one layer no cover, wooden ","Wooden tray, one layer, no cover ",,,"Holzschale, einlagig, ohne Deckel ",,,"houten schaal, enkellaags zonder deksel",,,
XDX,"Tray, two layers no cover, wooden","Wooden tray, two layers, no cover",,,"Holzschale, zweilagig, ohne Deckel",,,"houten schaal, dubbellaags zonder deksel",,,
XCV,Cover,Cover,,,Hülle,,,omhulsel,,,
XIG,"Package, paper wrapped",Paper wrapped package,,,In Papier eingewickeltes Paket,,,pakket ingepakt in papier,,,
XZV,"Intermediate bulk container, metal, other than steel","Metal intermediate bulk container, other than steel",,,"Intermediärer Schüttgutbehälter (IBC) aus Metall, ausgenommen Stahl",,,metalen (niet-staal) Intermediate-Bulk-Container,,,
XZW,"Intermediate bulk container, natural wood",Natural wood intermediate bulk container,,,Intermediärer Schüttgutbehälter (IBC) aus Naturholz,,,houten Intermediate-Bulk-Container,,,
XZT,"Intermediate bulk container, fibreboard",Fibreboard intermediate bulk container,,,Intermediärer Schüttgutbehälter (IBC) aus Pappe,,,spaanplaat Intermediate-Bulk-Container,,,
XZX,"Intermediate bulk container, plywood",Plywood intermediate bulk container,,,Intermediärer Schüttgutbehälter (IBC) aus Sperrholz,,,multiplex Intermediate-Bulk-Container,,,
XZS,"Intermediate bulk container, composite",Composite intermediate bulk container,,,Intermediärer Schüttgutbehälter (IBC) aus Verbundwerkstoff,,,composiet Intermediate-Bulk-Container,,,
XWA,Intermediate bulk container,Intermediate bulk container (IBC),IBC,,Intermediate Bulk Container (IBC),IBC,,Intermediate-Bulk-Container (IBC),,,"A reusable container made of metal, plastic, textile, wood or composite materials used to facilitate transportation of bulk solids and liquids in manageable volumes."
